Month,CAD_10Y,UK_10Y,US_10Y,CAD_UK_spread,US_UK_spread,CAD_US_spread
2013-04,1.7486363636363635,3.024184952,1.855,1.2755485883636366,-1.1691849520000002,0.10636363636363644
2013-05,1.9018181818181816,3.160807238,1.672,1.2589890561818182,-1.488807238,-0.2298181818181817
2013-06,2.2445,3.4562225,2.158,1.2117225,-1.2982225,-0.08650000000000002
2013-07,2.438181818181818,3.551915565,2.502,1.1137337468181818,-1.049915565,0.06381818181818177
2013-08,2.6114285714285717,3.61834381,2.587,1.0069152385714282,-1.0313438099999996,-0.024428571428571466
2013-09,2.698,3.657900095,2.838,0.9599000950000001,-0.8199000949999999,0.14000000000000012
2013-10,2.518181818181818,3.515526522,2.616,0.997344703818182,-0.8995265219999999,0.09781818181818203
2013-11,2.5585,3.572760857,2.557,1.014260857,-1.015760857,-0.0015000000000000568
2013-12,2.6734999999999998,3.63869985,2.752,0.9651998500000003,-0.8866998500000003,0.07850000000000001
2014-01,2.534090909090909,3.583357545,3.031,1.049266635909091,-0.552357545,0.49690909090909097
2014-02,2.4200000000000004,3.53135375,2.665,1.1113537499999997,-0.86635375,0.24499999999999966
2014-03,2.454285714285714,3.497805952,2.6,1.043520237714286,-0.8978059520000001,0.1457142857142859
2014-04,2.444761904761905,3.46315045,2.727,1.018388545238095,-0.7361504500000002,0.28223809523809473
2014-05,2.315238095238095,3.40930995,2.655,1.0940718547619048,-0.7543099500000001,0.3397619047619047
2014-06,2.2985714285714285,3.449631095,2.48,1.1510596664285715,-0.969631095,0.1814285714285715
2014-07,2.194545454545455,3.361583304,2.531,1.167037849454545,-0.8305833039999997,0.33645454545454534
2014-08,2.0620000000000003,3.1167004,2.564,1.0547003999999998,-0.5527004,0.5019999999999998
2014-09,2.1809523809523808,3.114214591,2.361,0.9332622100476193,-0.7532145909999999,0.18004761904761946
2014-10,2.0104545454545453,2.940586391,2.5,0.9301318455454548,-0.4405863910000001,0.48954545454545473
2014-11,2.0031578947368422,2.8718265,2.305,0.8686686052631578,-0.5668264999999999,0.3018421052631579
2014-12,1.851904761904762,2.621606667,2.176,0.7697019050952381,-0.44560666699999985,0.3240952380952382
2015-01,1.5257142857142856,2.248264619,2.208,0.7225503332857144,-0.04026461899999978,0.6822857142857146
2015-02,1.3794736842105264,2.3864601,1.648,1.0069864157894735,-0.7384601,0.2685263157894735
2015-03,1.4213636363636364,2.454965091,2.004,1.0336014546363637,-0.45096509100000004,0.5826363636363636
2015-04,1.4109523809523812,2.36782845,1.932,0.956876069047619,-0.43582845000000026,0.5210476190476188
2015-05,1.7440000000000002,2.607541789,2.051,0.8635417889999997,-0.5565417889999997,0.30699999999999994
2015-06,1.7799999999999998,2.759742136,2.121,0.979742136,-0.6387421359999998,0.3410000000000002
2015-07,1.5695454545454546,2.72876087,2.37,1.1592154154545453,-0.3587608699999998,0.8004545454545455
2015-08,1.3915,2.51178425,2.19,1.1202842499999999,-0.3217842499999999,0.7985
2015-09,1.4814285714285713,2.519118136,2.219,1.0376895645714286,-0.30011813600000004,0.7375714285714285
2015-10,1.4633333333333334,2.557279864,2.041,1.0939465306666665,-0.5162798639999999,0.5776666666666666
2015-11,1.6335000000000002,2.640151571,2.135,1.006651571,-0.5051515710000003,0.5014999999999996
2015-12,1.4595238095238094,2.575229,2.217,1.1157051904761908,-0.35822900000000013,0.7574761904761906
2016-01,1.258,2.49640165,2.293,1.2384016500000001,-0.20340165,1.0350000000000001
2016-02,1.1244999999999998,2.308328762,1.92,1.183828762,-0.388328762,0.7955000000000001
2016-03,1.268181818181818,2.320607048,1.736,1.0524252298181818,-0.5846070479999999,0.4678181818181819
2016-04,1.3361904761904762,2.332792952,1.779,0.996602475809524,-0.5537929520000002,0.44280952380952376
2016-05,1.35,2.28464925,1.831,0.9346492500000001,-0.4536492500000002,0.48099999999999987
2016-06,1.1681818181818182,2.017521955,1.848,0.8493401368181817,-0.16952195499999978,0.6798181818181819
2016-07,1.051,1.64631219,1.47,0.59531219,-0.17631218999999998,0.41900000000000004
2016-08,1.0427272727272727,1.351053727,1.46,0.3083264542727273,0.10894627299999993,0.41727272727272724
2016-09,1.0861904761904762,1.445598364,1.583,0.35940788780952393,0.13740163599999988,0.4968095238095238
2016-10,1.1664999999999999,1.708980381,1.602,0.5424803810000001,-0.10698038099999985,0.4355000000000002
2016-11,1.4376190476190476,1.989161955,1.835,0.5515429073809524,-0.15416195499999996,0.3973809523809524
2016-12,1.732,2.0294064,2.385,0.29740640000000007,0.35559359999999973,0.6529999999999998
2017-01,1.7223809523809526,2.021705619,2.445,0.29932466661904744,0.42329438099999983,0.7226190476190473
2017-02,1.702105263157895,1.9510494,2.464,0.24894413684210503,0.5129505999999999,0.761894736842105
2017-03,1.7143478260869565,1.842908957,2.419,0.12856113091304344,0.5760910430000001,0.7046521739130436
2017-04,1.5231578947368423,1.673360833,2.397,0.15020293826315778,0.7236391669999998,0.8738421052631575
2017-05,1.5131818181818182,1.730596619,2.281,0.21741480081818176,0.5504033810000002,0.767818181818182
2017-06,1.502727272727273,1.707579864,2.208,0.20485259127272704,0.5004201360000002,0.7052727272727273
2017-07,1.908,1.872534619,2.317,-0.03546538099999985,0.4444653810000001,0.40900000000000025
2017-08,1.8836363636363636,1.746089909,2.298,-0.1375464546363636,0.5519100910000001,0.4143636363636365
2017-09,2.0495,1.825519762,2.129,-0.223980238,0.3034802379999999,0.0794999999999999
2017-10,2.050952380952381,1.914393682,2.343,-0.13655869895238082,0.42860631799999993,0.2920476190476191
2017-11,1.9185714285714286,1.846239727,2.378,-0.07233170157142865,0.5317602730000002,0.4594285714285715
2017-12,1.9152631578947368,1.788630789,2.412,-0.12663236889473684,0.623369211,0.49673684210526314
2018-01,2.1981818181818182,1.840830727,2.412,-0.3573510911818183,0.571169273,0.21381818181818169
2018-02,2.3242105263157895,1.9587537,2.732,-0.3654568263157896,0.7732463000000003,0.4077894736842107
