date,high,low,open,close,volume,quoteVolume,weightedAverage
2021-02-08,46599.0,38020.78,38814.4,46359.36,2670.41485873,112703779.18894725,42204.59559701
2021-02-09,48108.9,45001.0,46379.22,46453.22,2083.07875661,97150926.77312963,46638.14388431
2021-02-10,47300.0,43762.78,46472.74,44816.95,2255.56289091,102666237.9669117,45516.9032886
2021-02-11,48634.66,44020.6,44814.71,47974.24,1651.18937898,76853632.97644638,46544.40850626
2021-02-12,48982.14,46161.55,48006.69,47340.41,1620.50457761,76997577.80068628,47514.56976088
2021-02-13,48094.12,46275.0,47307.97,47150.79,1112.32289604,52356650.27354184,47069.6507821
2021-02-14,49600.0,47037.0,47157.96,48577.4,1123.12776525,54746054.0061731,48744.27976944
2021-02-15,48993.3,45792.0,48601.67,47925.74,1673.35893354,79540907.26741786,47533.67951916
2021-02-16,50300.0,47052.61,47905.96,49171.45,1931.25487886,94493974.09713969,48928.79501897
2021-02-17,52594.1,48975.77,49171.45,52098.25,1753.73069246,89111580.9941617,50812.57993447
2021-02-18,52522.09,50928.19,52112.7,51586.06,1036.03845471,53673594.47118778,51806.56589258
2021-02-19,56273.6,50785.84,51585.0,55878.33,1829.05910332,98422582.49343139,53810.49869563
2021-02-20,57559.51,54000.0,55902.76,55872.91,1451.10873913,81627253.59353335,56251.64496112
2021-02-21,58320.0,55484.47,55872.91,57415.48,1070.42722703,61000472.19533729,56987.0334526
2021-02-22,57489.07,48010.0,57413.78,54115.72,3763.51972143,202277064.21770778,53746.77939533
2021-02-23,54195.4,45000.0,54117.67,48893.56,4042.6497285,196287695.93270022,48554.21793011
2021-02-24,51347.54,47012.37,48893.56,49694.85,1652.33009953,82245597.34432754,49775.52449581
2021-02-25,52019.28,46719.5,49678.34,47071.98,1654.16836295,82378324.67815381,49800.44747757
2021-02-26,48448.57,44122.21,47046.15,46310.0,2059.51878905,95758046.51341374,46495.34979847
2021-02-27,48388.98,45000.0,46320.0,46121.94,1209.94741347,56930212.36041191,47051.80715014
2021-02-28,46615.78,43000.0,46116.19,45170.08,1818.37319667,81218845.81074306,44665.66376994
2021-03-01,49777.0,44953.2,45170.08,49601.29,1594.46092479,75908419.59586301,47607.5759623
2021-03-02,50199.99,47070.27,49589.37,48415.66,1200.0681089,58233785.4821789,48525.40039211
2021-03-03,52605.81,48112.99,48415.66,50384.42,1556.79708074,78667161.6727513,50531.41648708
2021-03-04,51760.36,47525.0,50381.7,48358.98,1585.66752352,78293139.61013737,49375.50807393
2021-03-05,49421.65,46325.0,48373.49,48732.36,1149.74097797,54720002.46229359,47593.33059425
2021-03-06,49184.93,47142.35,48751.31,48889.17,760.48012784,36783745.18837563,48369.10767524
2021-03-07,51445.0,48878.15,48907.84,50940.44,795.84244187,39978191.07340506,50233.80127788
2021-03-08,52386.42,49284.87,50976.19,52386.42,1126.43847531,57147342.55770014,50732.76864231
2021-03-09,54888.0,51860.78,52372.57,54887.34,1115.09330525,60133081.16929605,53926.50183279
2021-03-10,57372.37,53000.0,54876.63,55858.02,1529.07165523,85139124.62786125,55680.27131799
2021-03-11,58127.81,54321.0,55892.18,57790.97,1486.39821741,83617082.58630426,56254.83239074
2021-03-12,58062.58,55060.0,57825.55,57248.2,1596.98245118,90422723.00383279,56620.98724818
2021-03-13,61799.0,56000.0,57247.04,61179.99,1395.42147254,82752895.74657248,59303.15490698
2021-03-14,61707.47,59000.84,61183.63,59000.84,851.55780958,51441399.28060716,60408.58142793
2021-03-15,60629.27,54628.58,59000.84,55638.21,1702.80220976,97420249.1684513,57211.72348148
2021-03-16,56912.99,53297.88,55600.0,56900.99,1378.30061098,76137441.24343698,55240.08379369
2021-03-17,58973.0,54162.36,56898.21,58893.02,1023.5861107,57561281.51907281,56234.91850598
2021-03-18,60081.0,57057.0,58913.31,57662.26,1000.03375313,58499570.57992215,58497.59610295
2021-03-19,59450.0,56305.0,57670.66,58053.0,1020.08635891,59440157.16555001,58269.73044621
2021-03-20,59867.5,57820.98,58039.83,58075.0,880.32620564,51725689.84186072,58757.4123211
2021-03-21,58592.99,55500.0,58080.62,57369.42,996.67257395,57023268.40197722,57213.64256666
2021-03-22,58470.14,53700.0,57386.17,54086.66,992.50237156,56017082.84286218,56440.25087296
2021-03-23,55832.15,53000.0,54085.67,54376.24,905.91535007,49482544.90210681,54621.5989146
2021-03-24,57200.0,51774.91,54345.77,52319.8,1237.92939155,67736271.23198009,54717.39478385
2021-03-25,53217.8,50483.38,52316.18,51328.05,1185.60615352,61408354.21868726,51794.90173559
2021-03-26,55038.82,51267.23,51277.24,55016.76,666.94522806,35499019.80430699,53226.2895224
2021-03-27,56645.32,53967.74,55008.35,55855.27,521.35530897,28802482.0154781,55245.39890536
2021-03-28,56517.75,54700.0,55828.0,55773.96,426.41009869,23791014.1766974,55793.73999299
2021-03-29,58332.14,54940.24,55769.13,57620.8,786.82076559,44980119.86781345,57166.92013597
2021-03-30,59360.0,57085.0,57614.0,58747.99,508.52583016,29649101.42317687,58304.02246007
2021-03-31,59782.49,56846.53,58747.99,58743.33,1025.1474551,60032189.45036686,58559.56540857
2021-04-01,59460.74,57908.24,58735.19,58723.02,672.19899576,39524002.58508862,58798.0684803
2021-04-02,60111.0,58468.99,58749.0,58988.73,700.71083572,41573475.44525204,59330.4303658
2021-04-03,59789.99,56937.18,58988.0,57066.0,897.34201416,52739135.89991294,58772.61408436
2021-04-04,58468.88,56467.05,57066.0,58209.0,821.13453226,47306339.84138884,57610.94922069
2021-04-05,59250.0,56816.0,58209.0,59113.17,1183.53552536,68743081.19323547,58082.82026204
2021-04-06,59461.12,57400.0,59117.87,57987.69,1121.70444794,65477072.45091312,58372.83838105
2021-04-07,58620.86,55240.12,57987.69,55949.53,1473.68871958,83838784.42700319,56890.42964982
2021-04-08,58148.6,55717.63,55945.49,58069.5,598.84582669,34203243.87469031,57115.27466717
2021-04-09,58876.91,57679.99,58069.0,58120.31,426.64169265,24834850.8820964,58210.0889574
2021-04-10,61246.06,57885.91,58127.99,59780.84,1053.89868351,63303607.48438407,60066.12255511
2021-04-11,60666.66,59264.29,59779.09,60010.44,507.43928274,30346166.54338016,59802.5568291
2021-04-12,61227.56,59350.28,60010.44,59849.87,841.04949523,50600969.09681211,60164.0799784
2021-04-13,63696.01,59813.0,59847.88,63562.97,1753.88729283,108754436.884289,62007.6542711
2021-04-14,64970.0,61347.84,63573.51,62957.99,1619.61616729,102807449.72701187,63476.42842997
2021-04-15,63765.99,62002.87,62959.65,63143.05,937.69990707,58994342.19763071,62913.88295213
2021-04-16,63528.39,60000.0,63156.55,61399.17,1544.11607609,94993695.10945939,61519.78894617
2021-04-17,62549.99,59610.0,61396.1,59996.0,846.1610813,51852065.19851216,61279.18944091
2021-04-18,60343.0,51680.96,59996.0,56170.2,2200.34304177,122020196.3394792,55455.07860507
2021-04-19,57510.34,54257.0,56143.97,55614.39,1025.65305882,57661054.13578809,56218.86820298
2021-04-20,57059.85,53360.93,55622.57,56468.76,1677.88838912,92885725.60945344,55358.70336296
2021-04-21,56760.94,53610.0,56438.78,53771.35,809.77196137,44810542.68816913,55337.23668618
2021-04-22,55470.54,50431.04,53771.94,51711.12,1481.67781082,78899150.60202993,53249.86986095
2021-04-23,52132.09,47750.0,51682.04,51130.62,2444.6164051,121240094.85787462,49594.73175625
2021-04-24,51177.07,48688.0,51122.81,50021.51,1061.1353824,52908720.01930574,49860.48047859
2021-04-25,50532.42,47000.0,50090.43,49093.37,952.23982042,46790079.14103107,49136.86461924
2021-04-26,54331.94,48730.36,49066.82,54011.88,1159.99854235,61437343.70068158,52963.29388157
2021-04-27,55400.0,53268.02,53954.43,55013.89,1053.90841268,57506962.83418982,54565.42726322
2021-04-28,56312.97,53806.14,55013.75,54827.0,1004.03785404,55079134.9377064,54857.62784349
2021-04-29,55175.47,52375.47,54831.0,53550.93,543.57924054,29214484.5097857,53744.66559974
2021-04-30,57800.0,53050.0,53550.23,57655.73,684.63974423,38174093.28489724,55757.92759129
2021-05-01,58363.08,57001.0,57655.73,57794.78,528.36910172,30551809.58883524,57822.85430654
2021-05-02,57892.55,56079.39,57798.99,56576.03,483.32819001,27444998.88278685,56783.36056131
2021-05-03,58900.0,56458.0,56566.55,57164.68,736.91530945,42715029.11430821,57964.63795302
2021-05-04,58300.0,51050.0,57185.51,53252.32,1644.41040495,90319488.96215184,54925.15049179
2021-05-05,57948.32,53000.0,53237.79,57424.0,1040.53928183,58125189.06335231,55860.63888056
2021-05-06,58344.07,55211.43,57424.0,56405.75,869.657399,49439913.53161747,56849.87397159
2021-05-07,58615.06,55246.82,56407.51,57313.91,1046.38787694,59516763.95723376,56878.30035959
2021-05-08,59343.55,56926.72,57313.91,58773.13,1103.5472992,64548811.70132122,58492.11152808
2021-05-09,59175.52,56250.0,58773.13,58235.33,972.83831634,56333426.45641843,57906.25791586
2021-05-10,59383.46,54275.0,58253.92,55810.51,1142.60187547,65541611.79322844,57361.72257398
2021-05-11,56814.0,54487.0,55821.72,56659.75,834.78713112,46422519.65387394,55610.0087355
2021-05-12,57925.14,48500.0,56658.08,49560.08,1482.67851613,81451292.86337717,54935.23510138
2021-05-13,51323.99,46250.0,49560.08,49680.8,2079.84237949,102643999.59940135,49351.81656629
2021-05-14,51462.39,48850.0,49680.8,49832.0,1074.35495599,53966175.5930385,50231.23437198
